Area,Date,Unadjusted CPI Index
U.S. city average,1/1/14,233.916
Region and area size(2),1/1/14,
Northeast urban,1/1/14,251.045
"Size A - More than 1,500,000",1/1/14,253.179
"Size B/C - 50,000 to 1,500,000(3)",1/1/14,149.186
Midwest urban,1/1/14,222.247
"Size A - More than 1,500,000",1/1/14,222.545
"Size B/C - 50,000 to 1,500,000(3)",1/1/14,142.8
"Size D -  Nonmetropolitan  (less than 50,000)",1/1/14,220.129
South urban,1/1/14,227.673
"Size A - More than 1,500,000",1/1/14,229.401
"Size B/C - 50,000 to 1,500,000(3)",1/1/14,144.668
"Size D -  Nonmetropolitan  (less than 50,000)",1/1/14,232.65
West urban,1/1/14,236.707
"Size A - More than 1,500,000",1/1/14,241.501
"Size B/C - 50,000 to 1,500,000(3)",1/1/14,141.998
Size classes,1/1/14,
A(4),1/1/14,213.665
B/C(3),1/1/14,144.407
D,1/1/14,228.262
Selected local areas(5),1/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",1/1/14,225.027
"Los Angeles-Riverside-Orange County, CA",1/1/14,239.857
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",1/1/14,259.596
"Boston-Brockton-Nashua, MA-NH-ME-CT",1/1/14,253.123
"Cleveland-Akron, OH",1/1/14,217.445
"Dallas-Fort Worth, TX",1/1/14,216.291
"Washington-Baltimore, DC-MD-VA-WV(6)",1/1/14,153.7
"Atlanta, GA",1/1/14,
"Detroit-Ann Arbor-Flint, MI",1/1/14,
"Houston-Galveston-Brazoria, TX",1/1/14,
"Miami-Fort Lauderdale, FL",1/1/14,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",1/1/14,
"San Francisco-Oakland-San Jose, CA",1/1/14,
"Seattle-Tacoma-Bremerton, WA",1/1/14,
U.S. city average,2/1/14,234.781
Region and area size(2),2/1/14,
Northeast urban,2/1/14,251.233
"Size A - More than 1,500,000",2/1/14,253.124
"Size B/C - 50,000 to 1,500,000(3)",2/1/14,149.685
Midwest urban,2/1/14,223.493
"Size A - More than 1,500,000",2/1/14,223.694
"Size B/C - 50,000 to 1,500,000(3)",2/1/14,143.719
"Size D -  Nonmetropolitan  (less than 50,000)",2/1/14,221.297
South urban,2/1/14,228.664
"Size A - More than 1,500,000",2/1/14,230.208
"Size B/C - 50,000 to 1,500,000(3)",2/1/14,145.341
"Size D -  Nonmetropolitan  (less than 50,000)",2/1/14,234.159
West urban,2/1/14,237.614
"Size A - More than 1,500,000",2/1/14,242.699
"Size B/C - 50,000 to 1,500,000(3)",2/1/14,142.12
Size classes,2/1/14,
A(4),2/1/14,214.362
B/C(3),2/1/14,144.993
D,2/1/14,229.507
Selected local areas(5),2/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",2/1/14,226.217
"Los Angeles-Riverside-Orange County, CA",2/1/14,241.059
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2/1/14,259.019
"Boston-Brockton-Nashua, MA-NH-ME-CT",2/1/14,
"Cleveland-Akron, OH",2/1/14,
"Dallas-Fort Worth, TX",2/1/14,
"Washington-Baltimore, DC-MD-VA-WV(6)",2/1/14,
"Atlanta, GA",2/1/14,218.861
"Detroit-Ann Arbor-Flint, MI",2/1/14,220.516
"Houston-Galveston-Brazoria, TX",2/1/14,211.745
"Miami-Fort Lauderdale, FL",2/1/14,242.268
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2/1/14,242.584
"San Francisco-Oakland-San Jose, CA",2/1/14,248.615
"Seattle-Tacoma-Bremerton, WA",2/1/14,242.77
U.S. city average,{year}-03-01,236.293
Region and area size(2),{year}-03-01,
Northeast urban,{year}-03-01,252.413
"Size A - More than 1,500,000",{year}-03-01,254.112
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,150.706
Midwest urban,{year}-03-01,225.485
"Size A - More than 1,500,000",{year}-03-01,225.869
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,144.898
"Size D -  Nonmetropolitan  (less than 50,000)",{year}-03-01,222.821
South urban,{year}-03-01,230.095
"Size A - More than 1,500,000",{year}-03-01,231.495
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,146.254
"Size D -  Nonmetropolitan  (less than 50,000)",{year}-03-01,236.324
West urban,{year}-03-01,239.092
"Size A - More than 1,500,000",{year}-03-01,244.259
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,142.813
Size classes,{year}-03-01,
A(4),{year}-03-01,215.687
B/C(3),{year}-03-01,145.929
D,{year}-03-01,231.45
Selected local areas(5),{year}-03-01,
"Chicago-Gary-Kenosha, IL-IN-WI",{year}-03-01,228.784
"Los Angeles-Riverside-Orange County, CA",{year}-03-01,242.491
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",{year}-03-01,259.971
"Boston-Brockton-Nashua, MA-NH-ME-CT",{year}-03-01,254.982
"Cleveland-Akron, OH",{year}-03-01,220.962
"Dallas-Fort Worth, TX",{year}-03-01,218.715
"Washington-Baltimore, DC-MD-VA-WV(6)",{year}-03-01,154.6
"Atlanta, GA",{year}-03-01,
"Detroit-Ann Arbor-Flint, MI",{year}-03-01,
"Houston-Galveston-Brazoria, TX",{year}-03-01,
"Miami-Fort Lauderdale, FL",{year}-03-01,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",{year}-03-01,
"San Francisco-Oakland-San Jose, CA",{year}-03-01,
"Seattle-Tacoma-Bremerton, WA",{year}-03-01,
U.S. city average,4/1/14,237.072
Region and area size(2),4/1/14,
