,Area,Date,Unadjusted CPI Index
0,U.S. city average,2014-01-01,233.916
1,Region and area size(2),2014-01-01,
2,Northeast urban,2014-01-01,251.045
3,"Size A - More than 1,500,000",2014-01-01,253.179
4,"Size B/C - 50,000 to 1,500,000(3)",2014-01-01,149.186
5,Midwest urban,2014-01-01,222.247
6,"Size A - More than 1,500,000",2014-01-01,222.545
7,"Size B/C - 50,000 to 1,500,000(3)",2014-01-01,142.8
8,"Size D -  Nonmetropolitan  (less than 50,000)",2014-01-01,220.129
9,South urban,2014-01-01,227.673
10,"Size A - More than 1,500,000",2014-01-01,229.401
11,"Size B/C - 50,000 to 1,500,000(3)",2014-01-01,144.668
12,"Size D -  Nonmetropolitan  (less than 50,000)",2014-01-01,232.65
13,West urban,2014-01-01,236.707
14,"Size A - More than 1,500,000",2014-01-01,241.501
15,"Size B/C - 50,000 to 1,500,000(3)",2014-01-01,141.998
16,Size classes,2014-01-01,
17,A(4),2014-01-01,213.665
18,B/C(3),2014-01-01,144.407
19,D,2014-01-01,228.262
20,Selected local areas(5),2014-01-01,
21,"Chicago-Gary-Kenosha, IL-IN-WI",2014-01-01,225.027
22,"Los Angeles-Riverside-Orange County, CA",2014-01-01,239.857
23,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-01-01,259.596
24,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-01-01,253.123
25,"Cleveland-Akron, OH",2014-01-01,217.445
26,"Dallas-Fort Worth, TX",2014-01-01,216.291
27,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-01-01,153.7
28,"Atlanta, GA",2014-01-01,
29,"Detroit-Ann Arbor-Flint, MI",2014-01-01,
30,"Houston-Galveston-Brazoria, TX",2014-01-01,
31,"Miami-Fort Lauderdale, FL",2014-01-01,
32,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-01-01,
33,"San Francisco-Oakland-San Jose, CA",2014-01-01,
34,"Seattle-Tacoma-Bremerton, WA",2014-01-01,
35,U.S. city average,2014-02-01,234.781
36,Region and area size(2),2014-02-01,
37,Northeast urban,2014-02-01,251.233
38,"Size A - More than 1,500,000",2014-02-01,253.124
39,"Size B/C - 50,000 to 1,500,000(3)",2014-02-01,149.685
40,Midwest urban,2014-02-01,223.493
41,"Size A - More than 1,500,000",2014-02-01,223.694
42,"Size B/C - 50,000 to 1,500,000(3)",2014-02-01,143.719
43,"Size D -  Nonmetropolitan  (less than 50,000)",2014-02-01,221.297
44,South urban,2014-02-01,228.664
45,"Size A - More than 1,500,000",2014-02-01,230.208
46,"Size B/C - 50,000 to 1,500,000(3)",2014-02-01,145.341
47,"Size D -  Nonmetropolitan  (less than 50,000)",2014-02-01,234.159
48,West urban,2014-02-01,237.614
49,"Size A - More than 1,500,000",2014-02-01,242.699
50,"Size B/C - 50,000 to 1,500,000(3)",2014-02-01,142.12
51,Size classes,2014-02-01,
52,A(4),2014-02-01,214.362
53,B/C(3),2014-02-01,144.993
54,D,2014-02-01,229.507
55,Selected local areas(5),2014-02-01,
56,"Chicago-Gary-Kenosha, IL-IN-WI",2014-02-01,226.217
57,"Los Angeles-Riverside-Orange County, CA",2014-02-01,241.059
58,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-02-01,259.019
59,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-02-01,
60,"Cleveland-Akron, OH",2014-02-01,
61,"Dallas-Fort Worth, TX",2014-02-01,
62,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-02-01,
63,"Atlanta, GA",2014-02-01,218.861
64,"Detroit-Ann Arbor-Flint, MI",2014-02-01,220.516
65,"Houston-Galveston-Brazoria, TX",2014-02-01,211.745
66,"Miami-Fort Lauderdale, FL",2014-02-01,242.268
67,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-02-01,242.584
68,"San Francisco-Oakland-San Jose, CA",2014-02-01,248.615
