,Expenditure category,Date,Unadjusted CPI Index
0,All items,2018-01-01,247.867
1,Food,2018-01-01,252.361
2,Food at home,2018-01-01,239.828
3,Cereals and bakery products,2018-01-01,272.273
4,Cereals and cereal products,2018-01-01,226.464
5,Flour and prepared flour mixes,2018-01-01,238.926
6,Breakfast cereal(4),2018-01-01,222.5
7,"Rice, pasta, cornmeal(4)",2018-01-01,232.821
8,Rice(4)(5)(6),2018-01-01,160.832
9,Bakery products(4),2018-01-01,298.582
10,Bread(4)(5),2018-01-01,177.242
11,White bread(4)(6),2018-01-01,319.327
12,Bread other than white(4)(6),2018-01-01,345.247
13,"Fresh biscuits, rolls, muffins(5)",2018-01-01,178.154
14,"Cakes, cupcakes, and cookies",2018-01-01,288.664
15,Cookies(6),2018-01-01,273.618
16,Fresh cakes and cupcakes(4)(6),2018-01-01,306.506
17,Other bakery products,2018-01-01,265.02
18,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",2018-01-01,294.893
19,"Crackers, bread, and cracker products(6)",2018-01-01,301.373
20,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",2018-01-01,270.268
21,"Meats, poultry, fish, and eggs",2018-01-01,247.284
22,"Meats, poultry, and fish",2018-01-01,248.991
23,Meats,2018-01-01,250.789
24,Beef and veal,2018-01-01,297.178
25,Uncooked ground beef(4),2018-01-01,268.855
26,Uncooked beef roasts(4)(5),2018-01-01,217.269
27,Uncooked beef steaks(5),2018-01-01,197.806
28,Uncooked other beef and veal(4)(5),2018-01-01,235.006
29,Pork,2018-01-01,211.114
30,"Bacon, breakfast sausage, and related products(5)",2018-01-01,160.862
31,Bacon and related products(6),2018-01-01,303.157
32,Breakfast sausage and related products(5)(6),2018-01-01,144.617
33,Ham,2018-01-01,194.308
34,"Ham, excluding canned(6)",2018-01-01,217.279
35,Pork chops(4),2018-01-01,186.512
36,"Other pork including roasts, steaks, and ribs(5)",2018-01-01,127.684
37,Other meats,2018-01-01,224.437
38,Frankfurters(6),2018-01-01,234.014
39,Lunchmeats(5)(6),2018-01-01,143.79
40,Lamb and organ meats(4)(6),2018-01-01,
41,Lamb and mutton(4)(5)(6),2018-01-01,
42,Poultry(4),2018-01-01,231.017
43,Chicken(4)(5),2018-01-01,148.844
44,Fresh whole chicken(4)(6),2018-01-01,247.809
45,Fresh and frozen chicken parts(4)(6),2018-01-01,220.803
46,Other uncooked poultry including turkey(5),2018-01-01,149.728
47,Fish and seafood,2018-01-01,289.064
48,Fresh fish and seafood(5),2018-01-01,179.25
49,Processed fish and seafood(5),2018-01-01,144.741
50,Shelf stable fish and seafood(4)(6),2018-01-01,202.929
51,Frozen fish and seafood(6),2018-01-01,302.207
52,Eggs,2018-01-01,226.224
53,Dairy and related products,2018-01-01,217.897
54,Milk(4)(5),2018-01-01,137.856
55,Fresh whole milk(6),2018-01-01,197.963
