,Area,Date,Unadjusted CPI Index
0,U.S. city average,2020-01-01,257.971
1,Region and area size(2),2020-01-01,
2,Northeast,2020-01-01,272.316
3,Northeast - Size Class A,2020-01-01,276.25
4,Northeast - Size Class B/C(3),2020-01-01,159.824
5,New England(4),2020-01-01,105.014
6,Middle Atlantic(4),2020-01-01,104.209
7,Midwest,2020-01-01,239.69
8,Midwest - Size Class A,2020-01-01,241.139
9,Midwest - Size Class B/C(3),2020-01-01,152.928
10,East North Central(4),2020-01-01,104.13
11,West North Central(4),2020-01-01,103.603
12,South,2020-01-01,248.005
13,South - Size Class A,2020-01-01,252.646
14,South - Size Class B/C(3),2020-01-01,156.673
15,South Atlantic(4),2020-01-01,104.811
16,East South Central(4),2020-01-01,102.776
17,West South Central(4),2020-01-01,103.032
18,West,2020-01-01,273.34
19,West - Size Class A,2020-01-01,282.427
20,West - Size Class B/C(3),2020-01-01,158.599
21,Mountain(4),2020-01-01,106.588
22,Pacific(4),2020-01-01,106.076
23,Size classes,2020-01-01,
24,Size Class A(5),2020-01-01,238.344
25,Size Class B/C(3),2020-01-01,156.769
26,Selected local areas,2020-01-01,
27,"Chicago-Naperville-Elgin, IL-IN-WI",2020-01-01,244.361
28,"Los Angeles-Long Beach-Anaheim, CA",2020-01-01,277.755
29,"New York-Newark-Jersey City, NY-NJ-PA",2020-01-01,282.02
30,"Atlanta-Sandy Springs-Roswell, GA",2020-01-01,
31,"Baltimore-Columbia-Towson, MD(6)",2020-01-01,
32,"Detroit-Warren-Dearborn, MI",2020-01-01,
33,"Houston-The Woodlands-Sugar Land, TX",2020-01-01,
34,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-01-01,
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020-01-01,
36,"Phoenix-Mesa-Scottsdale, AZ(7)",2020-01-01,
37,"San Francisco-Oakland-Hayward, CA",2020-01-01,
38,"Seattle-Tacoma-Bellevue, WA",2020-01-01,
39,"St. Louis, MO-IL",2020-01-01,
40,Urban Alaska,2020-01-01,
41,"Boston-Cambridge-Newton, MA-NH",2020-01-01,285.181
